i,j
1,2
1,4
1,8
1,20
1,23
1,29
1,41
1,51
1,52
1,57
1,62
1,63
1,65
1,71
1,79
1,85
1,97
1,98
1,107
1,112
1,117
1,120
1,122
1,125
1,129
1,132
1,133
1,136
1,142
1,147
2,11
2,40
2,41
2,55
2,56
2,58
2,61
2,63
2,72
2,79
2,80
2,85
2,93
2,95
2,99
2,111
2,114
2,115
2,117
2,128
2,129
2,137
2,140
2,147
3,38
3,56
3,61
3,93
3,102
3,115
3,132
3,147
4,20
4,32
4,41
4,44
4,65
4,84
4,92
4,97
4,131
5,47
5,55
5,90
5,114
5,132
6,19
6,30
6,39
6,54
6,58
6,62
6,65
6,70
6,74
6,88
6,111
6,112
6,145
7,13
7,28
7,32
7,60
7,102
7,104
7,126
8,12
8,15
8,23
8,46
8,56
8,57
8,59
8,61
8,63
8,64
8,77
8,85
8,104
8,115
8,118
8,129
8,132
8,136
8,140
8,141
8,143
8,145
8,147
9,28
9,102
9,136
11,23
11,40
11,61
11,78
11,85
11,99
11,115
12,23
12,43
12,47
12,56
12,57
12,61
12,63
12,64
12,77
12,115
12,140
12,147
13,53
13,126
14,28
14,32
14,60
14,105
15,24
15,43
15,57
15,61
15,64
15,73
15,76
15,104
15,108
15,114
15,115
15,132
17,20
17,27
17,33
17,36
17,44
17,46
17,52
17,53
17,56
17,57
17,68
17,69
17,76
17,110
17,112
17,138
18,44
18,109
18,113
18,131
18,144
19,28
19,37
19,62
19,79
19,103
19,117
19,128
20,23
20,33
20,44
20,45
20,51
20,53
20,57
20,68
20,100
20,108
20,112
20,116
20,118
20,125
20,136
21,61
21,102
21,104
21,130
22,82
22,106
22,113
22,119
22,121
22,144
23,24
23,43
23,56
23,57
23,61
23,63
23,64
23,77
23,85
23,93
23,102
23,104
23,108
23,111
23,115
23,116
23,117
23,118
23,125
23,129
23,136
23,140
23,148
24,33
24,43
24,57
24,108
24,118
25,43
25,54
25,55
25,73
25,78
25,89
25,90
25,114
25,132
25,143
26,37
26,64
26,83
26,103
26,117
26,140
27,33
27,36
27,45
27,46
27,52
27,53
27,68
27,69
27,76
27,96
27,110
27,112
27,138
27,146
28,41
28,51
28,63
28,65
28,79
28,93
28,94
28,98
28,107
28,128
28,134
28,136
28,148
29,41
29,65
29,97
29,145
30,37
30,40
30,54
30,74
32,42
32,44
32,93
32,104
32,131
32,137
33,36
33,45
33,46
33,52
33,53
33,69
33,73
33,76
33,86
33,96
33,110
33,112
33,138
33,142
34,106
34,113
34,131
34,144
36,45
36,46
36,52
36,56
36,68
36,76
36,112
36,138
37,46
37,48
37,50
37,53
37,59
37,73
37,78
37,85
37,86
37,88
37,89
37,91
37,99
37,103
37,117
37,135
38,60
38,93
38,105
38,117
38,144
39,40
39,41
39,59
39,70
39,80
39,95
39,101
39,112
39,117
39,123
39,136
39,142
39,145
40,72
40,75
40,80
40,85
40,91
40,95
40,139
40,147
41,51
41,58
41,59
41,61
41,62
41,63
41,65
41,75
41,84
41,85
41,97
41,98
41,107
41,112
41,115
41,117
41,120
41,122
41,128
41,130
41,133
41,136
41,137
41,142
41,145
41,148
42,106
42,113
42,119
42,121
42,130
42,131
42,137
42,144
43,44
43,55
43,56
43,57
43,61
43,63
43,73
43,77
43,93
43,104
43,108
43,115
43,116
43,132
43,140
44,57
44,108
44,109
44,113
44,125
44,127
44,137
45,46
45,53
45,68
45,69
45,76
45,110
45,112
45,138
45,146
46,52
46,55
46,57
46,68
46,76
46,118
47,55
47,61
47,90
47,104
47,108
47,114
47,132
48,58
48,85
48,95
50,85
50,86
51,59
51,63
51,97
51,120
51,128
51,130
51,145
52,56
52,57
52,63
52,76
52,77
52,102
52,115
52,140
53,64
53,68
53,69
53,96
53,110
53,112
53,138
54,55
54,83
54,86
54,88
54,90
