i,j,k
1,4,41
1,20,116
1,23,85
1,23,136
1,29,41
1,29,122
1,41,51
1,41,62
1,41,65
1,41,85
1,41,133
1,62,133
1,117,129
1,133,136
2,40,72
2,40,95
2,41,63
2,41,85
2,55,61
2,55,95
2,58,140
2,61,147
2,63,115
2,72,75
2,72,80
2,72,95
2,75,129
2,79,117
2,80,95
2,85,111
2,95,132
3,61,77
3,118,127
4,18,44
4,18,130
4,20,44
4,20,116
4,20,125
4,41,84
4,65,98
5,25,90
5,47,55
5,47,87
5,47,114
5,47,132
5,55,87
5,55,114
5,55,132
5,87,114
5,114,143
6,39,70
6,41,65
6,65,70
6,65,71
6,65,97
6,65,111
6,65,112
6,74,111
6,80,112
6,85,111
6,88,111
7,28,60
8,23,61
8,23,63
8,23,140
8,39,59
8,59,70
8,59,141
8,61,63
8,63,115
8,64,116
9,21,102
9,28,51
11,41,117
11,58,85
12,17,57
12,23,43
12,23,63
12,43,63
12,56,115
12,57,77
12,61,147
12,63,140
13,69,138
14,28,60
14,32,93
15,61,63
15,104,132
15,108,132
17,20,112
17,27,110
17,27,138
17,33,46
17,33,112
17,36,46
17,45,68
17,45,112
17,46,52
17,57,125
18,44,109
18,44,125
18,109,113
18,109,131
20,23,116
20,33,45
20,33,112
20,44,57
20,44,116
20,44,125
20,45,112
20,57,125
20,108,125
20,116,125
20,116,136
23,38,93
23,43,63
23,43,140
23,52,77
23,57,63
23,61,63
23,63,77
23,63,85
23,63,93
23,63,108
23,63,115
23,63,117
23,63,136
23,63,140
23,77,115
23,77,140
23,85,93
23,93,104
23,93,125
23,116,125
24,33,43
24,43,108
24,57,116
24,64,118
24,64,140
25,47,55
25,54,90
25,55,104
25,55,114
25,55,132
25,73,104
25,73,132
25,90,143
25,104,132
26,37,48
26,99,108
26,117,143
27,33,45
27,33,76
27,36,46
27,36,110
27,36,138
27,45,76
27,45,112
27,45,138
27,53,110
27,53,112
27,68,138
27,68,146
27,110,138
27,138,146
28,41,51
28,41,148
28,63,79
28,98,148
29,41,51
33,45,53
33,45,76
33,45,112
33,45,138
33,46,52
33,46,76
33,52,76
33,53,112
33,86,112
34,106,113
36,46,52
36,46,53
36,46,138
36,69,138
36,96,138
36,110,138
37,48,50
37,48,85
37,48,128
37,48,135
37,50,89
37,50,135
37,59,99
37,73,88
37,85,99
37,85,117
37,85,135
37,99,135
38,93,129
39,59,70
39,59,80
39,70,145
40,75,147
40,80,95
40,91,95
41,51,97
41,51,120
41,58,62
41,62,65
41,62,133
41,63,85
41,65,97
41,120,145
41,136,137
41,136,142
42,106,121
42,121,144
43,55,132
43,56,57
43,57,108
43,77,115
43,93,104
43,93,108
43,104,108
43,104,132
43,108,132
43,108,140
44,57,125
44,108,125
45,46,52
45,46,76
45,53,68
45,53,69
45,53,112
45,53,138
45,69,96
45,69,138
45,76,112
45,76,138
45,96,138
45,110,138
45,138,146
46,96,138
47,55,90
47,55,114
47,55,132
47,86,114
47,87,114
47,104,114
51,79,136
51,84,107
52,56,76
53,68,110
53,68,112
54,55,132
54,62,137
54,90,137
54,136,137
54,137,143
55,61,132
55,61,147
55,87,114
55,104,132
55,114,132
55,130,148
56,61,140
56,63,115
56,111,117
56,115,140
57,63,118
57,64,118
57,104,116
57,108,125
57,115,118
57,116,125
61,63,93
61,63,117
61,63,140
61,132,147
61,140,147
62,65,71
62,65,97
62,120,128
63,85,140
63,93,140
65,71,97
65,97,122
66,85,117
68,69,96
68,96,138
68,138,146
71,86,123
71,86,142
72,75,114
77,138,146
79,85,99
80,95,112
80,101,112
85,89,99
85,117,129
86,90,123
86,90,142
86,104,132
86,123,142
86,136,137
86,136,142
90,123,142
93,104,108
93,104,148
104,108,132
104,114,132
106,109,113
108,114,132
108,116,125
109,131,144
114,137,143
123,136,142
