i,j,k,l
1,20,116,125
1,29,41,51
1,41,62,133
1,41,65,97
1,62,65,133
1,65,97,120
1,66,85,117
1,74,85,117
2,40,72,75
2,55,72,95
2,55,93,115
2,56,61,129
2,58,72,75
2,61,63,140
2,63,72,85
2,63,72,115
2,85,117,129
3,61,77,140
4,18,84,130
4,20,44,116
4,20,44,125
4,20,116,125
4,41,84,130
4,44,108,116
4,44,108,125
5,47,55,87
5,47,55,114
5,55,87,114
5,55,87,132
5,55,114,132
6,39,65,70
6,62,65,97
6,65,70,97
6,65,70,145
6,65,71,97
7,9,21,126
7,28,60,129
8,12,61,63
8,23,43,56
8,23,61,63
8,56,77,115
8,75,80,112
11,48,85,99
11,58,78,85
12,57,63,118
12,57,64,118
13,53,69,138
13,102,126,134
17,33,36,46
17,33,46,76
17,36,46,76
17,45,53,112
17,45,76,138
17,46,52,76
18,106,109,113
19,37,48,66
20,23,61,63
20,23,116,136
20,27,69,138
20,33,45,112
20,33,45,136
20,43,44,125
20,44,108,125
20,44,116,125
20,57,116,125
20,108,116,125
21,55,130,148
23,38,63,93
23,43,63,115
23,57,116,125
23,63,79,117
23,63,93,115
23,63,93,140
23,64,118,140
25,47,55,104
25,47,55,132
25,55,104,132
27,36,69,146
27,45,46,76
27,45,53,68
27,45,53,112
27,45,53,138
27,45,68,138
27,45,110,138
27,68,76,112
27,68,138,146
28,29,51,65
29,41,51,59
29,41,51,133
29,41,65,145
32,44,130,137
33,45,46,53
33,45,46,112
33,45,53,112
34,106,131,144
36,45,53,110
36,45,69,138
36,69,96,138
37,48,78,135
37,48,85,135
37,48,103,135
37,59,78,79
37,85,99,135
39,59,70,80
39,59,70,145
40,72,75,147
41,51,97,120
41,59,120,145
41,62,107,133
41,62,122,133
43,57,104,108
43,104,108,132
44,108,125,144
45,46,76,138
45,53,68,112
45,53,68,138
45,68,138,146
45,69,96,138
47,55,61,104
47,55,61,132
47,55,87,114
47,55,114,132
48,85,89,99
54,83,117,136
54,90,137,143
55,87,114,132
61,63,77,140
61,63,140,147
62,65,71,97
68,96,138,146
68,110,138,146
69,96,110,138
70,103,128,143
71,136,137,142
79,85,99,135
86,97,136,142
104,108,116,125
106,109,113,144
